ProductKey,ProductCode,ProductName,ProductSubcategory,ProductCategory
1,AR-5381,Adjustable Race,NULL,NULL
2,BA-8327,Bearing Ball,NULL,NULL
3,BE-2349,BB Ball Bearing,NULL,NULL
4,BE-2908,Headset Ball Bearings,NULL,NULL
5,BL-2036,Blade,NULL,NULL
6,CA-5965,LL Crankarm,NULL,NULL
7,CA-6738,ML Crankarm,NULL,NULL
8,CA-7457,HL Crankarm,NULL,NULL
9,CB-2903,Chainring Bolts,NULL,NULL
10,CN-6137,Chainring Nut,NULL,NULL
11,CR-7833,Chainring,NULL,NULL
12,CR-9981,Crown Race,NULL,NULL
13,CS-2812,Chain Stays,NULL,NULL
14,DC-8732,Decal 1,NULL,NULL
15,DC-9824,Decal 2,NULL,NULL
16,DT-2377,Down Tube,NULL,NULL
17,EC-M092,Mountain End Caps,NULL,NULL
18,EC-R098,Road End Caps,NULL,NULL
19,EC-T209,Touring End Caps,NULL,NULL
20,FE-3760,Fork End,NULL,NULL
21,FH-2981,Freewheel,NULL,NULL
22,FW-1000,Flat Washer 1,NULL,NULL
23,FW-1200,Flat Washer 6,NULL,NULL
24,FW-1400,Flat Washer 2,NULL,NULL
25,FW-3400,Flat Washer 9,NULL,NULL
26,FW-3800,Flat Washer 4,NULL,NULL
27,FW-5160,Flat Washer 3,NULL,NULL
28,FW-5800,Flat Washer 8,NULL,NULL
29,FW-7160,Flat Washer 5,NULL,NULL
30,FW-9160,Flat Washer 7,NULL,NULL
31,FC-3654,Fork Crown,NULL,NULL
32,FC-3982,Front Derailleur Cage,NULL,NULL
33,FL-2301,Front Derailleur Linkage,NULL,NULL
34,GP-0982,Guide Pulley,NULL,NULL
35,GT-0820,LL Grip Tape,NULL,NULL
36,GT-1209,ML Grip Tape,NULL,NULL
37,GT-2908,HL Grip Tape,NULL,NULL
38,HJ-1213,Thin-Jam Hex Nut 9,NULL,NULL
39,HJ-1220,Thin-Jam Hex Nut 10,NULL,NULL
40,HJ-1420,Thin-Jam Hex Nut 1,NULL,NULL
41,HJ-1428,Thin-Jam Hex Nut 2,NULL,NULL
42,HJ-3410,Thin-Jam Hex Nut 15,NULL,NULL
43,HJ-3416,Thin-Jam Hex Nut 16,NULL,NULL
44,HJ-3816,Thin-Jam Hex Nut 5,NULL,NULL
45,HJ-3824,Thin-Jam Hex Nut 6,NULL,NULL
46,HJ-5161,Thin-Jam Hex Nut 3,NULL,NULL
47,HJ-5162,Thin-Jam Hex Nut 4,NULL,NULL
48,HJ-5811,Thin-Jam Hex Nut 13,NULL,NULL
49,HJ-5818,Thin-Jam Hex Nut 14,NULL,NULL
50,HJ-7161,Thin-Jam Hex Nut 7,NULL,NULL
51,HJ-7162,Thin-Jam Hex Nut 8,NULL,NULL
52,HJ-9080,Thin-Jam Hex Nut 12,NULL,NULL
53,HJ-9161,Thin-Jam Hex Nut 11,NULL,NULL
54,HN-1024,Hex Nut 5,NULL,NULL
55,HN-1032,Hex Nut 6,NULL,NULL
56,HN-1213,Hex Nut 16,NULL,NULL
57,HN-1220,Hex Nut 17,NULL,NULL
58,HN-1224,Hex Nut 7,NULL,NULL
59,HN-1420,Hex Nut 8,NULL,NULL
60,HN-1428,Hex Nut 9,NULL,NULL
61,HN-3410,Hex Nut 22,NULL,NULL
62,HN-3416,Hex Nut 23,NULL,NULL
63,HN-3816,Hex Nut 12,NULL,NULL
64,HN-3824,Hex Nut 13,NULL,NULL
65,HN-4402,Hex Nut 1,NULL,NULL
66,HN-5161,Hex Nut 10,NULL,NULL
67,HN-5162,Hex Nut 11,NULL,NULL
68,HN-5400,Hex Nut 2,NULL,NULL
69,HN-5811,Hex Nut 20,NULL,NULL
70,HN-5818,Hex Nut 21,NULL,NULL
71,HN-6320,Hex Nut 3,NULL,NULL
72,HN-7161,Hex Nut 14,NULL,NULL
73,HN-7162,Hex Nut 15,NULL,NULL
74,HN-8320,Hex Nut 4,NULL,NULL
75,HN-9161,Hex Nut 18,NULL,NULL
76,HN-9168,Hex Nut 19,NULL,NULL
77,HT-2981,Handlebar Tube,NULL,NULL
78,HT-8019,Head Tube,NULL,NULL
79,HU-6280,LL Hub,NULL,NULL
80,HU-8998,HL Hub,NULL,NULL
81,KW-4091,Keyed Washer,NULL,NULL
82,LE-1000,External Lock Washer 3,NULL,NULL
83,LE-1200,External Lock Washer 4,NULL,NULL
84,LE-1201,External Lock Washer 9,NULL,NULL
85,LE-1400,External Lock Washer 5,NULL,NULL
86,LE-3800,External Lock Washer 7,NULL,NULL
87,LE-5160,External Lock Washer 6,NULL,NULL
88,LE-6000,External Lock Washer 1,NULL,NULL
89,LE-7160,External Lock Washer 8,NULL,NULL
90,LE-8000,External Lock Washer 2,NULL,NULL
91,LI-1000,Internal Lock Washer 3,NULL,NULL
92,LI-1200,Internal Lock Washer 4,NULL,NULL
93,LI-1201,Internal Lock Washer 9,NULL,NULL
94,LI-1400,Internal Lock Washer 5,NULL,NULL
95,LI-3800,Internal Lock Washer 7,NULL,NULL
96,LI-5160,Internal Lock Washer 6,NULL,NULL
97,LI-5800,Internal Lock Washer 10,NULL,NULL
98,LI-6000,Internal Lock Washer 1,NULL,NULL
99,LI-7160,Internal Lock Washer 8,NULL,NULL
100,LI-8000,Internal Lock Washer 2,NULL,NULL
101,LJ-1213,Thin-Jam Lock Nut 9,NULL,NULL
102,LJ-1220,Thin-Jam Lock Nut 10,NULL,NULL
103,LJ-1420,Thin-Jam Lock Nut 1,NULL,NULL
104,LJ-1428,Thin-Jam Lock Nut 2,NULL,NULL
105,LJ-3410,Thin-Jam Lock Nut 15,NULL,NULL
106,LJ-3416,Thin-Jam Lock Nut 16,NULL,NULL
107,LJ-3816,Thin-Jam Lock Nut 5,NULL,NULL
108,LJ-3824,Thin-Jam Lock Nut 6,NULL,NULL
109,LJ-5161,Thin-Jam Lock Nut 3,NULL,NULL
110,LJ-5162,Thin-Jam Lock Nut 4,NULL,NULL
111,LJ-5811,Thin-Jam Lock Nut 13,NULL,NULL
112,LJ-5818,Thin-Jam Lock Nut 14,NULL,NULL
113,LJ-7161,Thin-Jam Lock Nut 7,NULL,NULL
114,LJ-7162,Thin-Jam Lock Nut 8,NULL,NULL
115,LJ-9080,Thin-Jam Lock Nut 12,NULL,NULL
116,LJ-9161,Thin-Jam Lock Nut 11,NULL,NULL
117,LN-1024,Lock Nut 5,NULL,NULL
118,LN-1032,Lock Nut 6,NULL,NULL
119,LN-1213,Lock Nut 16,NULL,NULL
120,LN-1220,Lock Nut 17,NULL,NULL
121,LN-1224,Lock Nut 7,NULL,NULL
122,LN-1420,Lock Nut 8,NULL,NULL
123,LN-1428,Lock Nut 9,NULL,NULL
124,LN-3410,Lock Nut 22,NULL,NULL
125,LN-3416,Lock Nut 23,NULL,NULL
126,LN-3816,Lock Nut 12,NULL,NULL
127,LN-3824,Lock Nut 13,NULL,NULL
128,LN-4400,Lock Nut 1,NULL,NULL
129,LN-5161,Lock Nut 10,NULL,NULL
130,LN-5162,Lock Nut 11,NULL,NULL
131,LN-5400,Lock Nut 2,NULL,NULL
132,LN-5811,Lock Nut 20,NULL,NULL
133,LN-5818,Lock Nut 21,NULL,NULL
134,LN-6320,Lock Nut 3,NULL,NULL
135,LN-7161,Lock Nut 14,NULL,NULL
136,LN-7162,Lock Nut 15,NULL,NULL
137,LN-8320,Lock Nut 4,NULL,NULL
138,LN-9080,Lock Nut 19,NULL,NULL
139,LN-9161,Lock Nut 18,NULL,NULL
140,LR-2398,Lock Ring,NULL,NULL
141,LR-8520,Lower Head Race,NULL,NULL
142,LW-1000,Lock Washer 4,NULL,NULL
143,LW-1200,Lock Washer 5,NULL,NULL
144,LW-1201,Lock Washer 10,NULL,NULL
145,LW-1400,Lock Washer 6,NULL,NULL
146,LW-3400,Lock Washer 13,NULL,NULL
147,LW-3800,Lock Washer 8,NULL,NULL
148,LW-4000,Lock Washer 1,NULL,NULL
149,LW-5160,Lock Washer 7,NULL,NULL
150,LW-5800,Lock Washer 12,NULL,NULL
151,LW-6000,Lock Washer 2,NULL,NULL
152,LW-7160,Lock Washer 9,NULL,NULL
153,LW-8000,Lock Washer 3,NULL,NULL
154,LW-9160,Lock Washer 11,NULL,NULL
155,MA-7075,Metal Angle,NULL,NULL
156,MB-2024,Metal Bar 1,NULL,NULL
157,MB-6061,Metal Bar 2,NULL,NULL
158,MP-2066,Metal Plate 2,NULL,NULL
159,MP-2503,Metal Plate 1,NULL,NULL
160,MP-4960,Metal Plate 3,NULL,NULL
161,MS-0253,Metal Sheet 2,NULL,NULL
162,MS-1256,Metal Sheet 3,NULL,NULL
163,MS-1981,Metal Sheet 7,NULL,NULL
164,MS-2259,Metal Sheet 4,NULL,NULL
165,MS-2341,Metal Sheet 5,NULL,NULL
166,MS-2348,Metal Sheet 6,NULL,NULL
167,MS-6061,Metal Sheet 1,NULL,NULL
168,MT-1000,Metal Tread Plate,NULL,NULL
169,NI-4127,LL Nipple,NULL,NULL
170,NI-9522,HL Nipple,NULL,NULL
171,PA-187B,Paint - Black,NULL,NULL
172,PA-361R,Paint - Red,NULL,NULL
173,PA-529S,Paint - Silver,NULL,NULL
174,PA-632U,Paint - Blue,NULL,NULL
175,PA-823Y,Paint - Yellow,NULL,NULL
176,PB-6109,Pinch Bolt,NULL,NULL
177,RA-2345,Cup-Shaped Race,NULL,NULL
178,RA-7490,Cone-Shaped Race,NULL,NULL
179,RF-9198,Reflector,NULL,NULL
180,RM-M464,LL Mountain Rim,NULL,NULL
181,RM-M692,ML Mountain Rim,NULL,NULL
182,RM-M823,HL Mountain Rim,NULL,NULL
183,RM-R436,LL Road Rim,NULL,NULL
184,RM-R600,ML Road Rim,NULL,NULL
185,RM-R800,HL Road Rim,NULL,NULL
186,RM-T801,Touring Rim,NULL,NULL
187,SA-M198,LL Mountain Seat Assembly,NULL,NULL
188,SA-M237,ML Mountain Seat Assembly,NULL,NULL
189,SA-M687,HL Mountain Seat Assembly,NULL,NULL
190,SA-R127,LL Road Seat Assembly,NULL,NULL
191,SA-R430,ML Road Seat Assembly,NULL,NULL
192,SA-R522,HL Road Seat Assembly,NULL,NULL
193,SA-T467,LL Touring Seat Assembly,NULL,NULL
194,SA-T612,ML Touring Seat Assembly,NULL,NULL
195,SA-T872,HL Touring Seat Assembly,NULL,NULL
196,SD-2342,LL Spindle/Axle,NULL,NULL
197,SD-9872,HL Spindle/Axle,NULL,NULL
198,SH-4562,LL Shell,NULL,NULL
199,SH-9312,HL Shell,NULL,NULL
200,SK-9283,Spokes,NULL,NULL
201,SL-0931,Seat Lug,NULL,NULL
202,SM-9087,Stem,NULL,NULL
203,SP-2981,Seat Post,NULL,NULL
204,SR-2098,Steerer,NULL,NULL
205,SS-2985,Seat Stays,NULL,NULL
206,ST-9828,Seat Tube,NULL,NULL
207,TO-2301,Top Tube,NULL,NULL
208,TP-0923,Tension Pulley,NULL,NULL
209,RC-0291,Rear Derailleur Cage,NULL,NULL
210,FR-R92B-58,"HL Road Frame - Black, 58",Road Frames,Components
211,FR-R92R-58,"HL Road Frame - Red, 58",Road Frames,Components
212,HL-U509-R,"Sport-100 Helmet, Red",Helmets,Accessories
213,HL-U509-R,"Sport-100 Helmet, Red",Helmets,Accessories
214,HL-U509-R,"Sport-100 Helmet, Red",Helmets,Accessories
215,HL-U509,"Sport-100 Helmet, Black",Helmets,Accessories
216,HL-U509,"Sport-100 Helmet, Black",Helmets,Accessories
217,HL-U509,"Sport-100 Helmet, Black",Helmets,Accessories
218,SO-B909-M,"Mountain Bike Socks, M",Socks,Clothing
219,SO-B909-L,"Mountain Bike Socks, L",Socks,Clothing
220,HL-U509-B,"Sport-100 Helmet, Blue",Helmets,Accessories
221,HL-U509-B,"Sport-100 Helmet, Blue",Helmets,Accessories
222,HL-U509-B,"Sport-100 Helmet, Blue",Helmets,Accessories
223,CA-1098,AWC Logo Cap,Caps,Clothing
224,CA-1098,AWC Logo Cap,Caps,Clothing
225,CA-1098,AWC Logo Cap,Caps,Clothing
226,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
227,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
228,LJ-0192-S,"Long-Sleeve Logo Jersey, S",Jerseys,Clothing
229,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing
230,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing
231,LJ-0192-M,"Long-Sleeve Logo Jersey, M",Jerseys,Clothing
232,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
233,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
234,LJ-0192-L,"Long-Sleeve Logo Jersey, L",Jerseys,Clothing
235,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
236,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
237,LJ-0192-X,"Long-Sleeve Logo Jersey, XL",Jerseys,Clothing
238,FR-R92R-62,"HL Road Frame - Red, 62",Road Frames,Components
239,FR-R92R-62,"HL Road Frame - Red, 62",Road Frames,Components
240,FR-R92R-62,"HL Road Frame - Red, 62",Road Frames,Components
241,FR-R92R-44,"HL Road Frame - Red, 44",Road Frames,Components
242,FR-R92R-44,"HL Road Frame - Red, 44",Road Frames,Components
243,FR-R92R-44,"HL Road Frame - Red, 44",Road Frames,Components
244,FR-R92R-48,"HL Road Frame - Red, 48",Road Frames,Components
245,FR-R92R-48,"HL Road Frame - Red, 48",Road Frames,Components
246,FR-R92R-48,"HL Road Frame - Red, 48",Road Frames,Components
247,FR-R92R-52,"HL Road Frame - Red, 52",Road Frames,Components
248,FR-R92R-52,"HL Road Frame - Red, 52",Road Frames,Components
249,FR-R92R-52,"HL Road Frame - Red, 52",Road Frames,Components
250,FR-R92R-56,"HL Road Frame - Red, 56",Road Frames,Components
251,FR-R92R-56,"HL Road Frame - Red, 56",Road Frames,Components
252,FR-R92R-56,"HL Road Frame - Red, 56",Road Frames,Components
253,FR-R38B-58,"LL Road Frame - Black, 58",Road Frames,Components
254,FR-R38B-58,"LL Road Frame - Black, 58",Road Frames,Components
255,FR-R38B-58,"LL Road Frame - Black, 58",Road Frames,Components
256,FR-R38B-60,"LL Road Frame - Black, 60",Road Frames,Components
257,FR-R38B-60,"LL Road Frame - Black, 60",Road Frames,Components
258,FR-R38B-60,"LL Road Frame - Black, 60",Road Frames,Components
259,FR-R38B-62,"LL Road Frame - Black, 62",Road Frames,Components
260,FR-R38B-62,"LL Road Frame - Black, 62",Road Frames,Components
261,FR-R38B-62,"LL Road Frame - Black, 62",Road Frames,Components
262,FR-R38R-44,"LL Road Frame - Red, 44",Road Frames,Components
263,FR-R38R-44,"LL Road Frame - Red, 44",Road Frames,Components
264,FR-R38R-48,"LL Road Frame - Red, 48",Road Frames,Components
265,FR-R38R-48,"LL Road Frame - Red, 48",Road Frames,Components
266,FR-R38R-52,"LL Road Frame - Red, 52",Road Frames,Components
267,FR-R38R-52,"LL Road Frame - Red, 52",Road Frames,Components
268,FR-R38R-58,"LL Road Frame - Red, 58",Road Frames,Components
269,FR-R38R-58,"LL Road Frame - Red, 58",Road Frames,Components
270,FR-R38R-60,"LL Road Frame - Red, 60",Road Frames,Components
271,FR-R38R-60,"LL Road Frame - Red, 60",Road Frames,Components
272,FR-R38R-62,"LL Road Frame - Red, 62",Road Frames,Components
273,FR-R38R-62,"LL Road Frame - Red, 62",Road Frames,Components
274,FR-R72R-44,"ML Road Frame - Red, 44",Road Frames,Components
275,FR-R72R-48,"ML Road Frame - Red, 48",Road Frames,Components
276,FR-R72R-52,"ML Road Frame - Red, 52",Road Frames,Components
277,FR-R72R-58,"ML Road Frame - Red, 58",Road Frames,Components
278,FR-R72R-60,"ML Road Frame - Red, 60",Road Frames,Components
279,FR-R38B-44,"LL Road Frame - Black, 44",Road Frames,Components
280,FR-R38B-44,"LL Road Frame - Black, 44",Road Frames,Components
281,FR-R38B-44,"LL Road Frame - Black, 44",Road Frames,Components
282,FR-R38B-48,"LL Road Frame - Black, 48",Road Frames,Components
283,FR-R38B-48,"LL Road Frame - Black, 48",Road Frames,Components
284,FR-R38B-48,"LL Road Frame - Black, 48",Road Frames,Components
285,FR-R38B-52,"LL Road Frame - Black, 52",Road Frames,Components
286,FR-R38B-52,"LL Road Frame - Black, 52",Road Frames,Components
287,FR-R38B-52,"LL Road Frame - Black, 52",Road Frames,Components
288,FR-M94S-42,"HL Mountain Frame - Silver, 42",Mountain Frames,Components
289,FR-M94S-42,"HL Mountain Frame - Silver, 42",Mountain Frames,Components
290,FR-M94S-42,"HL Mountain Frame - Silver, 42",Mountain Frames,Components
291,FR-M94S-44,"HL Mountain Frame - Silver, 44",Mountain Frames,Components
292,FR-M94S-52,"HL Mountain Frame - Silver, 48",Mountain Frames,Components
293,FR-M94S-46,"HL Mountain Frame - Silver, 46",Mountain Frames,Components
294,FR-M94S-46,"HL Mountain Frame - Silver, 46",Mountain Frames,Components
295,FR-M94S-46,"HL Mountain Frame - Silver, 46",Mountain Frames,Components
296,FR-M94B-42,"HL Mountain Frame - Black, 42",Mountain Frames,Components
297,FR-M94B-42,"HL Mountain Frame - Black, 42",Mountain Frames,Components
298,FR-M94B-42,"HL Mountain Frame - Black, 42",Mountain Frames,Components
299,FR-M94B-44,"HL Mountain Frame - Black, 44",Mountain Frames,Components
300,FR-M94B-48,"HL Mountain Frame - Black, 48",Mountain Frames,Components
301,FR-M94B-46,"HL Mountain Frame - Black, 46",Mountain Frames,Components
302,FR-M94B-46,"HL Mountain Frame - Black, 46",Mountain Frames,Components
303,FR-M94B-46,"HL Mountain Frame - Black, 46",Mountain Frames,Components
304,FR-M94B-38,"HL Mountain Frame - Black, 38",Mountain Frames,Components
305,FR-M94B-38,"HL Mountain Frame - Black, 38",Mountain Frames,Components
306,FR-M94B-38,"HL Mountain Frame - Black, 38",Mountain Frames,Components
307,FR-M94S-38,"HL Mountain Frame - Silver, 38",Mountain Frames,Components
308,FR-M94S-38,"HL Mountain Frame - Silver, 38",Mountain Frames,Components
309,FR-M94S-38,"HL Mountain Frame - Silver, 38",Mountain Frames,Components
310,BK-R93R-62,"Road-150 Red, 62",Road Bikes,Bikes
311,BK-R93R-44,"Road-150 Red, 44",Road Bikes,Bikes
312,BK-R93R-48,"Road-150 Red, 48",Road Bikes,Bikes
313,BK-R93R-52,"Road-150 Red, 52",Road Bikes,Bikes
314,BK-R93R-56,"Road-150 Red, 56",Road Bikes,Bikes
315,BK-R68R-58,"Road-450 Red, 58",Road Bikes,Bikes
316,BK-R68R-60,"Road-450 Red, 60",Road Bikes,Bikes
317,BK-R68R-44,"Road-450 Red, 44",Road Bikes,Bikes
318,BK-R68R-48,"Road-450 Red, 48",Road Bikes,Bikes
319,BK-R68R-52,"Road-450 Red, 52",Road Bikes,Bikes
320,BK-R50R-58,"Road-650 Red, 58",Road Bikes,Bikes
321,BK-R50R-58,"Road-650 Red, 58",Road Bikes,Bikes
322,BK-R50R-60,"Road-650 Red, 60",Road Bikes,Bikes
323,BK-R50R-60,"Road-650 Red, 60",Road Bikes,Bikes
324,BK-R50R-62,"Road-650 Red, 62",Road Bikes,Bikes
325,BK-R50R-62,"Road-650 Red, 62",Road Bikes,Bikes
326,BK-R50R-44,"Road-650 Red, 44",Road Bikes,Bikes
327,BK-R50R-44,"Road-650 Red, 44",Road Bikes,Bikes
328,BK-R50R-48,"Road-650 Red, 48",Road Bikes,Bikes
329,BK-R50R-48,"Road-650 Red, 48",Road Bikes,Bikes
330,BK-R50R-52,"Road-650 Red, 52",Road Bikes,Bikes
331,BK-R50R-52,"Road-650 Red, 52",Road Bikes,Bikes
332,BK-R50B-58,"Road-650 Black, 58",Road Bikes,Bikes
333,BK-R50B-58,"Road-650 Black, 58",Road Bikes,Bikes
334,BK-R50B-60,"Road-650 Black, 60",Road Bikes,Bikes
335,BK-R50B-60,"Road-650 Black, 60",Road Bikes,Bikes
336,BK-R50B-62,"Road-650 Black, 62",Road Bikes,Bikes
337,BK-R50B-62,"Road-650 Black, 62",Road Bikes,Bikes
